CLASH,Reis e Princesas,1
SONIC,pelado e de tenis,1
MARIO,encanador,1
HADES,inferno,1
TRUCO,3.6.9.12...,1
ZELDA,cocirijungle,1
GOLFE,bola no buraco,1
MINEC,blocos quadrados,1
FORTN,batalha real,1
POKEM,monstros bolso,1
FIFA_,futebol virtual,1
GTA_V,crimes cidade,1
AMONG,trapaça espacial,1
ROBLO,jogos criativos,1
LEAGU,5 contra 5,1
VALOR,tiro tático,1
CANDY,doces combinar,1
ANGRY,passaros zangados,1
PUBG_,battle royale,1
APEX_,legends movimento,1
ROCKE,carros futebol,1
SKYRI,dragões frio,1
WITCH,caçador branco,1
DARK_,almas difíceis,1
RESID,zumbis survival,1
FINAL,fantasia rpg,1
STREE,luta e golpes,1
MORTA,fatalities sangue,1
ASSAS,parkour história,1
SPIDE,teias heroísmo,1
BATMA,morcego milionário,1
DOOM_,demônios espaço,1
GEARS,serra elétrica,1
HALO_,anel e chief,1
WORLD,warcraft online,1
DIABO,demonios loot,1
STARD,fazenda paz,1
ANIMA,cruzamento ilha,1
SIMPS,família amarela,1
BRAWL,estrelas luta,1
FREE_,fogo mobile,1
FALL_,obstáculos funny,1
KART_,corrida cascas,1
SMASH,irmãos luta,1
SPLAT,tinta polvos,1
KIRBY,rosa absorve,1
METRO,caçadora espacial,1
DONKE,gorila bananas,1
PACMA,fantasma comer,1
TETRI,blocos linha,1
PONG_,primeiro jogo,1
SPACE,invasores espaço,1
CONTRA,konami code,1
CASTL,vampiro castelo,1
MEGAM,azul armas,1
CRASH,bandicoot marsupial,1
SPYRO,dragão fogo,1
TOMB_,raider aventura,1
NEED_,velocidade carros,1
FORZA,simulação real,1
GRAN_,turismo carros,1
SOUL_,calibur espadas,1
TEKKE,luta 3d famosa,1
DRAGO,bolas dragão,1
NARUT,shinobi folha,1
ONE_P,piratas chapéu,1
DIGIM,monstros digital,1
YU_GI,oh cartas magia,1
PERSO,máscaras social,1
KINGD,chaves coração,1
BIO_S,little sister,1
BORDE,lands humor,1
FALLO,abrigo nuclear,1
ELDER,rola pergaminhos,1
DISHO,corvo vingança,1
DEAD_,space necromorfos,1
SILEN,colina nevoeiro,1
LEFT_,4 dead zumbis,1
TEAM_,fortress chapéus,1
COUNT,strike terroristas,1
DOTA_,defesa antigas,1
MINEC,craft blocos,1
FORTN,ite danças,1
CALL_,duty guerra,1
ROBLO,jogo de criança,1
OVERW,atch heróis,1
CANDY,crush doces,1
ANGRY,birds porcos,1
APEX_,lendas movimento,1
ROCKE,league carros,1
WITCH,er caçador,1
FINAL,fantasy magia,1
STREE,fighter golpes,1
ASSAS,sin creed,1
SPIDE,rman heroi,1
BATMA,n cavaleiro,1
GEARS,war guerra,1
WORLD,warcraft orcs,1
STARD,valley fazenda,1
ANIMA,crossing fofa,1
BRAWL,stars celular,1